2018rank,City,State[c],2018estimate,2010Census,Change,2016 land area sq mi,2016 land area sq km,2016 population density per sq mi,2016 population density per sq km,Location,Short_Description_of_City,zip-codes
100,Spokane, Washington,"219,190","208,916",+4.92%,68.7 sq mi,177.9 km2,"3,144/sq mi","1,214/km2",47°40′01″N 117°26′00″W﻿ / ﻿47.6669°N 117.4333°W﻿ / 47.6669; -117.4333﻿ (Spokane),"Spokane  spoh-KAN) is a city in Spokane County in the state of Washington in the northwestern United States. It is located on the Spokane River west of the Rocky Mountain foothills in eastern Washington, 92 miles  south of the Canada–US border, 18 miles  from the Washington–Idaho border, and 228 miles  east of Seattle along Interstate 90."," 99201, 99202, 99203, 99204, 99205, 99206, 99207, 99208, 99209 , 99210 , 99211 , 99212, 99213 , 99214 , 99215 , 99216, 99217, 99218, 99219 , 99220 , 99223, 99224, 99228 , 99251, 99252, 99256, 99258, 99260, 99299"
101,Des Moines, Iowa,"216,853","203,433",+6.60%,88.9 sq mi,230.2 km2,"2,424/sq mi",936/km2,41°34′21″N 93°36′37″W﻿ / ﻿41.5726°N 93.6102°W﻿ / 41.5726; -93.6102﻿ (Des Moines),"Des Moines ) is the capital and the most populous city in the U.S. state of Iowa. It is also the county seat of Polk County. A small part of the city extends into Warren County. It was incorporated on September 22, 1851, as Fort Des Moines, which was shortened to ""Des Moines"" in 1857. It is on and named after the Des Moines River, which likely was adapted from the early French name, Rivière des Moines, meaning ""River of the Monks"". The city's population was 217,521 as of the 2017 population estimate. The five-county metropolitan area is ranked 89th in terms of population in the United States with 634,725 residents according to the 2016 estimate by the United States Census Bureau, and is the second largest metropolitan area in the state after that of Omaha, Nebraska, which includes three counties in southwest Iowa.",503015034050310
102,Tacoma, Washington,"216,279","198,397",+9.01%,49.7 sq mi,128.7 km2,"4,251/sq mi","1,641/km2",47°15′08″N 122°27′35″W﻿ / ﻿47.2522°N 122.4598°W﻿ / 47.2522; -122.4598﻿ (Tacoma),"Tacoma adopted its name after the nearby Mount Rainier, originally called Takhoma or Tahoma. It is locally known as the ""City of Destiny"" because the area was chosen to be the western terminus of the Northern Pacific Railroad in the late 19th century. The decision of the railroad was influenced by Tacoma's neighboring deep-water harbor, Commencement Bay. By connecting the bay with the railroad, Tacoma's motto became ""When rails meet sails"". Commencement Bay serves the Port of Tacoma, a center of international trade on the Pacific Coast and Washington State's largest port."," 98001, 98002, 98071, 98092, 98401–98409, 98411–98413, 98415, 98416, 98418, 98421, 98422, 98424, 98430, 98431, 98433, 98438, 98439, 98442–98447, 98450, 98455, 98460, 98464, 98465, 98466, 98467, 98471, 98477, 98481, 98492, 98493, 98497–98499"
103,San Bernardino, California,"215,941","209,924",+2.87%,61.5 sq mi,159.3 km2,"3,516/sq mi","1,358/km2",34°08′30″N 117°17′37″W﻿ / ﻿34.1416°N 117.2936°W﻿ / 34.1416; -117.2936﻿ (San Bernardino),"San Bernardino  is a city located in the Riverside–San Bernardino metropolitan area  and that serves as the county seat of San Bernardino County, California, United States. As one of the Inland Empire's anchor cities, San Bernardino spans 81 square miles  on the floor of the San Bernardino Valley and as of 2017 has a population of 216,995. San Bernardino is the 17th-largest city in California and the 102nd-largest city in the United States. San Bernardino is home to numerous diplomatic missions for the Inland Empire, being one of four cities in California with numerous consulates . The governments of Guatemala and Mexico have also established their consulates in the downtown area of the city.","92401–92408, 92410–92415, 92418, 92420, 92423, 92424, 92427"
104,Modesto, California,"215,030","201,165",+6.89%,43.0 sq mi,111.4 km2,"4,934/sq mi","1,905/km2",37°38′15″N 121°00′11″W﻿ / ﻿37.6375°N 121.0030°W﻿ / 37.6375; -121.0030﻿ (Modesto),"Modesto /məˈdɛstoʊ/ , officially the City of Modesto, is the county seat and largest city of Stanislaus County, California, United States. With a population of approximately 201,165 at the 2010 census, it is the 18th largest city in the state of California and forms part of the Modesto–Merced combined statistical area. The Modesto Census County Division, which includes the cities of Ceres and Riverbank, had a population of 312,842 as of 2010.","95350–95358, 95397"
105,Fontana, California,"213,739","196,069",+9.01%,43.0 sq mi,111.4 km2,"4,876/sq mi","1,883/km2",34°06′32″N 117°27′46″W﻿ / ﻿34.1090°N 117.4629°W﻿ / 34.1090; -117.4629﻿ (Fontana),"Fontana  is a city in San Bernardino County, California. Founded by Azariel Blanchard Miller in 1913, it remained essentially rural until World War II, when entrepreneur Henry J. Kaiser built a large steel mill in the area. It is now a regional hub of the trucking industry, with Interstate 10 and State Route 210 transecting the city from east to west, and Interstate 15 passing diagonally through its northwestern quadrant.","92331, 92334–92337"
106,Santa Clarita, California,"210,089","176,320",+19.15%,52.8 sq mi,136.8 km2,"3,446/sq mi","1,331/km2",34°24′11″N 118°30′15″W﻿ / ﻿34.4030°N 118.5042°W﻿ / 34.4030; -118.5042﻿ (Santa Clarita),"Santa Clarita, officially the City of Santa Clarita, is the third largest city in Los Angeles County, California, and the 24th largest in the state of California. The city has annexed a number of unincorporated areas, contributing to the large population increase. It is located about 35 miles  northwest of downtown Los Angeles, and occupies most of the Santa Clarita Valley. It is a notable example of a U.S. edge city or boomburb. Santa Clarita was ranked by Money magazine in 2006 as 18th of the top 100 places to live.","91310, 91321–91322, 91350–91351, 91354–91355, 91380–91387, 91390"
107,Birmingham, Alabama,"209,880","212,237",−1.11%,146.1 sq mi,378.4 km2,"1,452/sq mi",561/km2,33°31′39″N 86°47′56″W﻿ / ﻿33.5274°N 86.7990°W﻿ / 33.5274; -86.7990﻿ (Birmingham),"Birmingham  is a city in the north central region of the U.S. state of Alabama. With an estimated 2017 population of 210,710, it is the most populous city in Alabama.  Birmingham is the seat of Jefferson County, Alabama's most populous and fifth largest county. As of 2017, the Birmingham-Hoover Metropolitan Statistical Area had a population of 1,149,807, making it the most populous in Alabama and 49th-most populous in the United States. Birmingham serves as an important regional hub and is associated with the Deep South, Piedmont, and Appalachian regions of the nation.",35201–35298
108,Oxnard, California,"209,877","197,899",+6.05%,26.9 sq mi,69.7 km2,"7,729/sq mi","2,984/km2",34°12′08″N 119°12′17″W﻿ / ﻿34.2023°N 119.2046°W﻿ / 34.2023; -119.2046﻿ (Oxnard),"Oxnard  is a city in Ventura County, California, United States. Located along the coast of Southern California, it is the most populous city in Ventura County and the 19th most populous city in California. Incorporated in 1903, the city lies approximately 60 miles  west of downtown Los Angeles and is part of the larger Greater Los Angeles area. ",93030–93036
109,Fayetteville, North Carolina,"209,468","200,564",+4.44%,147.7 sq mi,382.5 km2,"1,386/sq mi",535/km2,35°04′58″N 78°58′25″W﻿ / ﻿35.0828°N 78.9735°W﻿ / 35.0828; -78.9735﻿ (Fayetteville),"Fayetteville has received the All-America City Award from the National Civic League three times. As of the 2010 census it had a population of 200,564, with an estimated population of 204,408 in 2013. It is the 6th-largest city in North Carolina. Fayetteville is in the Sandhills in the western part of the Coastal Plain region, on the Cape Fear River.","28301, 28302, 28303, 28304, 28305, 28306, 28307 , 28308 , 28309, 28310 , 28311, 28312, 28314,28387,28374"
110,Moreno Valley, California,"209,050","193,365",+8.11%,51.3 sq mi,132.9 km2,"4,006/sq mi","1,547/km2",33°55′24″N 117°12′21″W﻿ / ﻿33.9233°N 117.2057°W﻿ / 33.9233; -117.2057﻿ (Moreno Valley),"Moreno Valley is a city located in Riverside County, California, and is part of the San Bernardino-Riverside Metropolitan Area. A relatively young city, its rapid growth from the 1980s to the early 2000s made it the second-largest city in Riverside County by population, and one of the Inland Empire's population centers. As of the 2010 census, the city's population was 193,365. The city is closely tied to Riverside, California, the county seat and largest city in the county, which borders Moreno Valley directly to the west. Moreno Valley is also part of the Greater Los Angeles area.",92551–92557
111,Rochester, New York,"206,284","210,565",−2.03%,35.8 sq mi,92.7 km2,"5,835/sq mi","2,253/km2",43°10′12″N 77°37′01″W﻿ / ﻿43.1699°N 77.6169°W﻿ / 43.1699; -77.6169﻿ (Rochester),"Rochester  is a city on the southern shore of Lake Ontario in western New York. With a population of 208,046 residents, Rochester is the seat of Monroe County and the third most populous city in New York state, after New York City and Buffalo. The metropolitan area has a population of just over 1 million people. It is about 73 miles  east of Buffalo and 87 miles  west of Syracuse.",146xx 
112,Glendale, California,"201,361","191,719",+5.03%,30.4 sq mi,78.7 km2,"6,606/sq mi","2,551/km2",34°10′53″N 118°14′45″W﻿ / ﻿34.1814°N 118.2458°W﻿ / 34.1814; -118.2458﻿ (Glendale),"Glendale /ˈɡlɛndeɪl/ is a city in Los Angeles County, California, United States. Its estimated 2014 population was 200,167, making it the third-largest city in Los Angeles County and the 23rd-largest city in California. It is located about 8 mi  north of downtown Los Angeles.","91201–91210, 91214, 91221, 91222, 91224–91226"
113,Huntington Beach, California,"200,641","189,992",+5.60%,26.9 sq mi,69.7 km2,"7,459/sq mi","2,880/km2",33°41′26″N 118°00′33″W﻿ / ﻿33.6906°N 118.0093°W﻿ / 33.6906; -118.0093﻿ (Huntington Beach),"Huntington Beach is a seaside city in Orange County in Southern California. The city is named after American businessman Henry E. Huntington. The population was 189,992 during the 2010 census, making it the most populous beach city in Orange County and the seventh most populous city in the Los Angeles-Long Beach-Anaheim, CA Metropolitan Statistical Area. Its estimated 2014 population was 200,809. It is bordered by Bolsa Chica Basin State Marine Conservation Area on the west, the Pacific Ocean on the southwest, by Seal Beach on the northwest, by Westminster on the north, by Fountain Valley on the northeast, by Costa Mesa on the east, and by Newport Beach on the southeast.","92605, 92615, 92646–92649"
114,Salt Lake City, Utah,"200,591","186,440",+7.59%,111.2 sq mi,288.0 km2,"1,742/sq mi",673/km2,40°46′37″N 111°55′52″W﻿ / ﻿40.7769°N 111.9310°W﻿ / 40.7769; -111.9310﻿ (Salt Lake City),"Salt Lake City  is the capital and most populous municipality of the U.S. state of Utah, and county seat of Salt Lake County. With an estimated population of 190,884 in 2014, the city is the core of the Salt Lake City metropolitan area, which has a population of 1,153,340 . Salt Lake City is further situated within a larger metropolis known as the Salt Lake City–Ogden–Provo Combined Statistical Area, a corridor of contiguous urban and suburban development stretched along a 120-mile  segment of the Wasatch Front, comprising a population of 2,423,912 . It is one of only two major urban areas in the Great Basin."," 8410184128, 8413084134, 84136, 8413884139, 84141, 8414384145, 8414784148, 8415084152, 8415784158, 84165, 8417084171, 84180, 84184, 8418984190, 84199"
115,Grand Rapids, Michigan,"200,217","188,040",+6.48%,44.4 sq mi,115.0 km2,"4,424/sq mi","1,708/km2",42°57′40″N 85°39′20″W﻿ / ﻿42.9612°N 85.6556°W﻿ / 42.9612; -85.6556﻿ (Grand Rapids),"Grand Rapids is the second-largest city in Michigan and the largest city in West Michigan. It is on the Grand River about 30 miles  east of Lake Michigan. As of the 2010 census, the city population was 188,040. In 2010, the Grand Rapids metropolitan area had a population of 1,005,648, and the combined statistical area of Grand Rapids-Muskegon-Holland had a population of 1,321,557. Grand Rapids is the county seat of Kent County.","49501, 49502, 49503, 49504, 49505, 49506, 49507, 49508, 49510, 49514, 49515, 49516, 49518, 49523, 49525, 49534, 49546, 49548, 49555, 49560, 49588, 49594"
116,Amarillo, Texas,"199,924","190,695",+4.84%,101.4 sq mi,262.6 km2,"1,968/sq mi",760/km2,35°12′00″N 101°49′49″W﻿ / ﻿35.1999°N 101.8302°W﻿ / 35.1999; -101.8302﻿ (Amarillo),"Amarillo  AM-ə-RIL-oh) is the 14th-most populous city in the state of Texas, United States. It is also the largest city in the Texas Panhandle, and the seat of Potter County. A portion of the city extends into Randall County. The estimated population was 199,826 as of 2017. The Amarillo metropolitan area has an estimated population of 276,020 in four counties as of 2017. The metro population is projected to surpass 310,000 in 2020.","7910179111, 79114, 7911679121, 7912379124, 79159, 79163, 7916679168, 7917179172, 79174, 79178, 79182, 79185, 79187, 79189"
